taxon,lineage,conflict,ambiguity_score,scorpio_call,scorpio_support,scorpio_conflict,version,pangolin_version,pangoLEARN_version,pango_version,status,note
hCoV-19/Thailand/CU-SI2107327-NT/2021,B.1.351,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2107331-NT/2021,B.1.351,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2100580-NPS/2021,B.1.36.16,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2010697-NST/2020,B.1,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2010772-NT/2020,B.1,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2010940-NT/2020,B.1,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI205717-TS/2020,B.1,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI2013364-NT/2020,B.1,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI209037-NT/2020,B.1,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI209039-NT/2020,B.1.1,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI204610-NT/2020,A.6,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-SI209040-NT/2020,B.1,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-A21002-NT/2021,P.1.1,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-A21288-NT/2021,AY.30,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-A21289-NT/2021,AY.30,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-A21291-NT/2021,AY.30,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-A21292-NT/2021,AY.30,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-A21293-NT/2021,AY.30,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/CU-A21287-NT/2021,AY.30,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/A21939/2020,B.1.177.77,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/A21940/2020,B.1,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
hCoV-19/Thailand/A21945/2020,B.1.1.214,,,,,,PANGO-v1.2.123,3.1.19,2022-01-20,v1.2.123,passed_qc,Assigned from designation hash.
